Date,Volume,Issue,Pages,Cleaned?,Location
1940-01-02,57,1,,,
1940-01-09,57,2,,,
1940-01-16,57,3,,,
1940-01-23,57,4,,,
1940-01-30,57,5,,,
1940-02-06,57,6,,,
1940-02-13,57,7,,,
1940-02-20,57,8,,,
1940-02-27,57,9,,,
1940-03-05,57,10,,,
1940-03-12,57,11,,,
1940-03-19,57,12,,,
1940-03-26,57,13,,,
1940-04-02,57,14,,,
1940-04-09,57,15,,,
1940-04-16,57,16,,,
1940-04-23,57,17,,,
1940-04-30,57,18,,,
1940-05-07,57,19,,,
1940-05-14,57,20,,,
1940-05-21,57,21,,,
1940-05-28,57,22,,,
1940-06-04,57,23,,,
1940-06-11,57,24,,,
1940-06-18,57,25,,,
1940-06-25,57,26,,,
1940-07-02,57,27,,,
1940-07-09,57,28,,,
1940-07-16,57,29,,,
1940-07-23,57,30,,,
1940-07-30,57,31,,,
1940-08-06,57,32,,,
1940-08-13,57,33,,,
1940-08-20,57,34,,,
1940-08-27,57,35,,,
1940-09-03,57,36,,,
1940-09-10,57,37,,,
1940-09-17,57,38,,,
1940-09-24,57,39,,,
1940-10-01,57,40,,,
1940-10-08,57,41,,,
1940-10-15,57,42,,,
1940-10-22,57,43,,,
1940-10-29,57,44,,,
1940-11-05,57,45,,,
1940-11-12,57,46,,,
1940-11-19,57,47,,,
1940-11-26,57,48,,,
1940-12-03,57,49,,,
1940-12-10,57,50,,,
1940-12-17,57,51,,,
1940-12-24,57,52,,,
1940-12-31,57,53,,,
1941-01-07,58,1,,,
1941-01-14,58,2,,,
1941-01-21,58,3,,,
1941-01-28,58,4,,,
1941-02-04,58,5,,,
1941-02-11,58,6,,,
1941-02-18,58,7,,,
1941-02-25,58,8,,,
1941-03-04,58,9,,,
1941-03-11,58,10,,,
1941-03-18,58,11,,,
1941-03-25,58,12,,,
1941-04-01,58,13,,,
1941-04-08,58,14,,,
1941-04-15,58,15,,,
1941-04-22,58,16,,,
1941-04-29,58,17,,,
1941-05-06,58,18,,,
1941-05-13,58,19,,,
1941-05-20,58,20,,,
1941-05-27,58,21,,,
1941-06-03,58,22,,,
1941-06-10,58,23,,,
1941-06-17,58,24,,,
1941-06-24,58,25,,,
1941-07-01,58,26,,,
1941-07-08,58,27,,,
1941-07-15,58,28,,,
1941-07-22,58,29,,,
1941-07-29,58,30,,,
1941-08-05,58,31,,,
1941-08-12,58,32,,,
1941-08-19,58,33,,,
1941-08-26,58,34,,,
1941-09-02,58,35,,,
1941-09-09,58,36,,,
1941-09-16,58,37,,,
1941-09-23,58,38,,,
1941-09-30,58,39,,,
1941-10-07,58,40,,,
1941-10-14,58,41,,,
1941-10-21,58,42,,,
1941-10-28,58,43,,,
1941-11-04,58,44,,,
1941-11-11,58,45,,,
1941-11-18,58,46,,,
1941-11-25,58,47,,,
1941-12-02,58,48,,,
1941-12-09,58,49,,,
1941-12-16,58,50,,,
1941-12-23,58,51,,,
1941-12-30,58,52,,,
1942-01-06,59,1,,,
1942-01-13,59,2,,,
1942-01-20,59,3,,,
1942-01-27,59,4,,,
1942-02-03,59,5,,,
1942-02-10,59,6,,,
1942-02-17,59,7,,,
1942-02-24,59,8,,,
1942-03-03,59,9,,,
1942-03-10,59,10,,,
1942-03-17,59,11,,,
1942-03-24,59,12,,,
1942-03-31,59,13,,,
1942-04-07,59,14,,,
1942-04-14,59,15,,,
1942-04-21,59,16,,,
1942-04-28,59,17,,,
1942-05-05,59,18,,,
1942-05-12,59,19,,,
1942-05-19,59,20,,,
1942-05-26,59,21,,,
1942-06-02,59,22,,,
1942-06-09,59,23,,,
1942-06-16,59,24,,,
1942-06-23,59,25,,,
1942-06-30,59,26,,,
1942-07-07,59,27,,,
1942-07-14,59,28,,,
1942-07-21,59,29,,,
1942-07-28,59,30,,,
1942-08-04,59,31,,,
1942-08-11,59,32,,,
1942-08-18,59,33,,,
1942-08-25,59,34,,,
1942-09-01,59,35,,,
1942-09-08,59,36,,,
1942-09-15,59,37,,,
1942-09-22,59,38,,,
1942-09-29,59,39,,,
1942-10-06,59,40,,,
1942-10-13,59,41,,,
1942-10-20,59,42,,,
1942-10-27,59,43,,,
1942-11-03,59,44,,,
1942-11-10,59,45,,,
1942-11-17,59,46,,,
1942-11-24,59,47,,,
1942-12-01,59,48,,,
1942-12-08,59,49,,,
1942-12-15,59,50,,,
1942-12-22,59,51,,,
1942-12-29,59,52,,,
1943-01-05,60,1,,,
1943-01-12,60,2,,,
1943-01-19,60,3,,,
1943-01-26,60,4,,,
1943-02-02,60,5,,,
1943-02-09,60,6,,,
1943-02-16,60,7,,,
1943-02-23,60,8,,,
1943-03-02,60,9,,,
1943-03-09,60,10,,,
1943-03-16,60,11,,,
1943-03-23,60,12,,,
1943-03-30,60,13,,,
1943-04-06,60,14,,,
1943-04-13,60,15,,,
1943-04-20,60,16,,,
1943-04-27,60,17,,,
1943-05-04,60,18,,,
1943-05-11,60,19,,,
1943-05-18,60,20,,,
1943-05-25,60,21,,,
1943-06-01,60,22,,,
1943-06-08,60,23,,,
1943-06-15,60,24,,,
1943-06-22,60,25,,,
1943-06-29,60,26,,,
1943-07-06,60,27,,,
1943-07-13,60,28,,,
1943-07-20,60,29,,,
1943-07-27,60,30,,,
1943-08-03,60,31,,,
1943-08-10,60,32,,,
1943-08-17,60,33,,,
1943-08-24,60,34,,,
1943-08-31,60,35,,,
1943-09-07,60,36,,,
1943-09-14,60,37,,,
1943-09-21,60,38,,,
1943-09-28,60,39,,,
1943-10-05,60,40,,,
1943-10-12,60,41,,,
1943-10-19,60,42,,,
1943-10-26,60,43,,,
1943-11-02,60,44,,,
1943-11-09,60,45,,,
1943-11-16,60,46,,,
1943-11-23,60,47,,,
1943-11-30,60,48,,,
1943-12-07,60,49,,,
1943-12-14,60,50,,,
1943-12-21,60,51,,,
1943-12-28,60,52,,,
1944-01-04,61,1,,,
1944-01-11,61,2,,,
1944-01-18,61,3,,,
1944-01-25,61,4,,,
1944-02-01,61,5,,,
1944-02-08,61,6,,,
1944-02-15,61,7,,,
1944-02-22,61,8,,,
1944-02-29,61,9,,,
1944-03-07,61,10,,,
1944-03-14,61,11,,,
1944-03-21,61,12,,,
1944-03-28,61,13,,,
1944-04-04,61,14,,,
1944-04-11,61,15,,,
1944-04-18,61,16,,,
1944-04-25,61,17,,,
1944-05-02,61,18,,,
1944-05-09,61,19,,,
1944-05-16,61,20,,,
1944-05-23,61,21,,,
1944-05-30,61,22,,,
1944-06-06,61,23,,,
1944-06-13,61,24,,,
1944-06-20,61,25,,,
1944-06-27,61,26,,,
1944-07-04,61,27,,,
1944-07-11,61,28,,,
1944-07-18,61,29,,,
1944-07-25,61,30,,,
1944-08-01,61,31,,,
1944-08-08,61,32,,,
1944-08-15,61,33,,,
1944-08-22,61,34,,,
1944-08-29,61,35,,,
1944-09-05,61,36,,,
1944-09-12,61,37,,,
1944-09-19,61,38,,,
1944-09-26,61,39,,,
1944-10-03,61,40,,,
1944-10-10,61,41,,,
1944-10-17,61,42,,,
1944-10-24,61,43,,,
1944-10-31,61,44,,,
1944-11-07,61,45,,,
1944-11-14,61,46,,,
1944-11-21,61,47,,,
1944-11-28,61,48,,,
1944-12-05,61,49,,,
1944-12-12,61,50,,,
1944-12-19,61,51,,,
1944-12-26,61,52,,,
1945-01-02,62,1,,,
1945-01-09,62,2,,,
1945-01-16,62,3,,,
