Term	Count	Per million	
church	108	4945.508	
work	84	3846.506	
christ	70	3205.4219	
meeting	60	2747.5044	
texas	55	2518.5457	
th	55	2518.5457	
brother	49	2243.7952	
new	47	2152.2117	
time	42	1923.253	
ll	38	1740.0862	
er	37	1694.2944	
god	36	1648.5027	
bible	35	1602.7109	
good	35	1602.7109	
love	34	1556.9192	
gospel	33	1511.1273	
men	33	1511.1273	
nd	32	1465.3356	
building	31	1419.5438	
city	28	1282.1687	
house	28	1282.1687	
april	27	1236.377	
congregation	26	1190.5852	
ed	26	1190.5852	
foundation	26	1190.5852	
ot	25	1144.7935	
ing	24	1099.0017	
lord	24	1099.0017	
mrs	24	1099.0017	
page	24	1099.0017	
baptized	23	1053.21	
book	23	1053.21	
sunday	23	1053.21	
tha	23	1053.21	
firm	22	1007.4183	
churches	21	961.6265	
day	21	961.6265	
1945	20	915.8348	
eddy	20	915.8348	
ha	20	915.8348	
science	20	915.8348	
way	20	915.8348	
ma	19	870.0431	
man	19	870.0431	
plan	19	870.0431	
spirit	19	870.0431	
box	18	824.25134	
ch	18	824.25134	
paul	18	824.25134	
people	18	824.25134	
king	17	778.4596	
worship	17	778.4596	
en	16	732.6678	
ere	16	732.6678	
es	16	732.6678	
place	16	732.6678	
present	16	732.6678	
year	16	732.6678	
years	16	732.6678	
fine	15	686.8761	
la	15	686.8761	
sister	15	686.8761	
ve	15	686.8761	
world	15	686.8761	
christian	14	641.08435	
holy	14	641.08435	
lng	14	641.08435	
mary	14	641.08435	
members	14	641.08435	
rockingham	14	641.08435	
rom	14	641.08435	
service	14	641.08435	
tion	14	641.08435	
tuesday	14	641.08435	
ye	14	641.08435	
great	13	595.2926	
know	13	595.2926	
need	13	595.2926	
night	13	595.2926	
order	13	595.2926	
power	13	595.2926	
testament	13	595.2926	
cor	12	549.50085	
let	12	549.50085	
preach	12	549.50085	
states	12	549.50085	
______	11	503.70914	
al	11	503.70914	
best	11	503.70914	
brethren	11	503.70914	
christians	11	503.70914	
ia	11	503.70914	
like	11	503.70914	
lord's	11	503.70914	
songs	11	503.70914	
used	11	503.70914	
woman	11	503.70914	
words	11	503.70914	
young	11	503.70914	
_____	10	457.9174	
