Term	Count	Per million
church	160	8511.997
restoration	99	5266.798
christ	98	5213.5977
new	84	4468.7983
bible	59	3138.7988
movement	59	3138.7988
god	57	3032.399
testament	55	2925.9988
men	48	2553.5989
churches	42	2234.3992
unity	34	1808.7992
christians	33	1755.5992
authority	31	1649.1993
christian	30	1595.9994
time	29	1542.7994
work	29	1542.7994
lord	28	1489.5994
faith	27	1436.3994
century	26	1383.1995
word	26	1383.1995
box	23	1223.5995
brethren	23	1223.5995
things	23	1223.5995
christianity	21	1117.1996
principle	21	1117.1996
texas	21	1117.1996
worship	21	1117.1996
day	20	1063.9996
foundation	19	1010.79956
god's	19	1010.79956
people	19	1010.79956
gospel	18	957.5996
great	18	957.5996
man	18	957.5996
plea	18	957.5996
school	18	957.5996
today	18	957.5996
america	17	904.3996
believe	17	904.3996
campbell	17	904.3996
firm	17	904.3996
group	17	904.3996
human	17	904.3996
just	17	904.3996
old	17	904.3996
preacher	17	904.3996
preaching	17	904.3996
divine	16	851.19965
good	16	851.19965
jesus	16	851.19965
know	16	851.19965
let	16	851.19965
lord's	16	851.19965
said	16	851.19965
scriptures	16	851.19965
world	16	851.19965
years	16	851.19965
1976	15	797.9997
address	15	797.9997
came	15	797.9997
congregation	15	797.9997
need	15	797.9997
place	15	797.9997
teaching	15	797.9997
way	15	797.9997
august	14	744.7997
bus	14	744.7997
disciples	14	744.7997
effort	14	744.7997
little	14	744.7997
members	14	744.7997
religious	14	744.7997
truth	14	744.7997
year	14	744.7997
continued	13	691.59973
house	13	691.59973
p.m	13	691.59973
page	13	691.59973
pattern	13	691.59973
phone	13	691.59973
spirit	13	691.59973
area	12	638.3997
baptism	12	638.3997
become	12	638.3997
beginning	12	638.3997
communion	12	638.3997
future	12	638.3997
holy	12	638.3997
minister	12	638.3997
send	12	638.3997
TRUE	12	638.3997
come	11	585.19977
contact	11	585.19977
groups	11	585.19977
make	11	585.19977
ought	11	585.19977
paul	11	585.19977
present	11	585.19977
salvation	11	585.19977
set	11	585.19977
